"18838","中国船舶重工集团公司北京长城无线电厂","5020","CSIC-Beijing Great Wall Radio Factory","No.30 Xueyuan Road(s),Haidian District,Beijing,China","北京市海淀区学院南路30号","www.bgwr.com.cn","5201","电子及声学测量仪器，电控及通信设备，汽车收音机，水声工程等。","100088","bgwr@china.com","010-62253344","010-62250376"
"19145","番禺市远航螺旋桨制造有限公司","5020","Panyu Yuanhang Propellers Manufacture Co.,ltd","No.10 Caogang Street，Qiaoshan Village，Shiji Town，Panyu，Guangzhou，Guangdong，China","广州番禺市石基镇桥山村草港街10号","www.yhpropeller.com.cn","5206","生产螺旋桨及有色金属铸件。","511450","yuanhang@yhpropeller.com.cn","020-34554888","020-34555222"
"19146","汕尾冠华通导设备科技有限公司","5020","Shanwei Guanhua Communication and Navigation Secie","No.4 Aoyuan D Bldg，Aomen Street，Shanwei，Guangdong，China","汕尾市澳门街澳苑D栋4号","","5206","生产船用对讲机和渔机。","516600","","0660-3345773",""
"19147","汕尾快捷通导设备有限公司","5020","Express Communication & Navigation Co.,ltd","3/F No.18 Liantang Road，，Shanwei，Guangdong，China","汕尾市莲塘路18号三楼","www.onwa.cn","5206","航上仪器研发、生产。","516600","onwa@onwa.cn","0660-3385782","0660-3385781"
"19148","深圳市博利昌数控设备有限公司","5020","Shenzhen Bolichang CNC Equipment Co.,ltd","6/F Block A，Xinian Centre，No.6021 Shennan Avenue，Shenzhen，Guangdong，China","深圳市深南大道6021号喜年中心A座6楼","www.blccnc.com","5206","各种类型数控切割机床、自动焊接机及相关设备。","518040","szblccnc@public.szptt.net.cn","0755-83477979","0755-83459728"
"19149","深圳市发利构件机械技术服务有限公司","5020","Shenzhen Fairness Engineering Services Co.,ltd","2/F Port Machinery Building，No.5Chiwan Road（6th），Nanshan District，Shenzhen，Guangdong，China","深圳市南山区赤湾六路5号港机大楼2层","www.fairmess.cc","5206","海上陆地工程的钢结构、管道、容器、设备及供热通风空调的制作、安装及机电设备维修保养和材料供应；工程技术顾问、第三方工程质量监督、无损检测。","518068","szhang@fairness.cc","0755-26868530","0755-26867090"
"19150","上海驷博监控技术工程有限公司","5020","Shanghai SIBO Monitor Technique Engineering Co.,Lt","28F. Zhonghe Fiance Plazza,No.1220 Zhoujiazui Road","周家嘴路1220号众和金融大厦28楼","www.sibo.sh.cn","5205","开发生产船舶机舱自动化设备；代理国外同类型产品在中国市场上的销售和服务业务。","200082","sales@sibo.sh.cn","021-65861142","021-65370272"
"19151","深圳市泰祥气囊护舷有限公司","5020","Shenzhen Taixiang Air-bags Fender Co.,ltd","Rm302 Block 14，No.38 Baoan，Shengzhen，Guangdong，China","深圳市保安38区14栋302室","www.taix99.com","5206","各种气囊。","518101","taix@taix99.com","0755-27892234","0755-27891379"
"19152","顺德市广顺通用机械有限公司","5020","Shunde Guangshun Universal Machinery Co.,ltd","Daliang Town，Shunde，Guangdong，China","顺德市大良镇","","5206","泵、锚机、喷灌机。","528300","","0757-22223672","0757-22227857"
"19153","顺德市顺达船舶工程有限公司","5020","Shunde Shunda Marine Engineering Co.,ltd","No.9 Xidi Road，Leliu Town，Shunde，Guangdong，China","顺德市勒流镇西堤路9号","","5206","各种系列离心泵，各种系列自吸旋涡泵，船用手摇活塞泵，CP系列船用喷射泵，上述水泵的易耗配件和机械密封件，船用标准法兰，船用潜水泵。","528322","","0757-25566939","0757-25532809"
"19154","顺德市信德船舶机械有限公司","5020","Shunde Xinde Marine Machinery Co.,Ltd","Gongye Road（S），Yongfeng Industrial Area，Lunjiao，Shunde，Guangdong，China","顺德市伦教永丰工业区工业南路","","5206","生产船用起锚机、起锚绞盘、系泊绞车、弹簧拖钩、船用油污水分离装置、舾装系泊设备、管路附件、通风附件、门窗盖，及非标甲板机械。","528308","","0757-27831788","0757-27831788"
"19155","台山市白沙船舶配件厂","5020","Taishan Baisha Marine Fittings Factory","Baisha Town，Taishan，Guangdong，China","台山市白沙镇","","5203","船舶配件修理。","529257","","0750-5811482",""
"19156","鑫隆潜水器材制造有限公司","5020","Xinlong Diving Equipment Co.,ltd","No.145 Gangxia Road(W），Jin'an Town，Doumen District，Zhuhai，Guangdong，China","珠海市斗门区井岸镇港霞西路145号","www.aquaticsupplies.Com.cn","5206","各种潜水装置。","519100","","0756-5551187","0756-5532349"
"19157","阳山县水运公司机修厂","5020","Machine Repair Plant of Yangshan Country Shipping ","QinglianTown，Yangshan County，Guangdong，China","阳山县青莲镇","","5206","船舶机械修理。","513122","","0763-7646905",""
"19158","郁南县西江航海仪器有限公司","5020","Yunan Xijiang Navigation Instrument Co.,ltd","No.28，2nd lane，Liushu Road，Ducheng Town，Yunan County，Guangdong，China","郁南县都城镇柳树路二巷28号","","5206","WKD系列雾航自动控制汽笛，WD系列电笛，CB418-Dg系列膜片式空气笛。HSD活塞式电动笛，DL型电磁离合器。","527100","ccs74@zhang.com.cn","0766-7592302","0756-7593820"
"19159","浙江亚达不锈钢制造有限公司广州分公司","5020","Guangzhou Branch of Zhejiang Yada Stainless Steel ","No.1395 Guangzhou Street（S），Guangzhou，Guangdong，China","广州市大道南1395号","www.yadajx.com","5203","专业生产不锈钢管路系列chanp。","510300","yada@cnyada.net","020-84289999","020-84218366"
"19160","志成船舶配件有限公司","5020","Genuine Marine Co.,ltd","No.134 Rongtaiheting，Daishan Road，Qianshan，Zhuhai，Guangdong，China","珠海市前山岱山路荣泰河庭134号商铺","","5206","船舶配件。","519070","sales@genuinemarine.com","0756-85166080","0756-8516161"
"19161","上海斯门沃柴油机有限公司（Seafury 中国总代）","5020","Shanghai Si Men Won Diesel Engine Co.,Ltd(Seafury ","No.1168 Chuansha Road,Pudong","浦东川沙路1168号","","5205","用于高速游艇、巡逻艇、轮渡的最佳推进系统。","201209","will_ante-xingtong@163.com","021-58568392","021-58560593"
"19162","中山利航机械制造有限公司（中山市利航船舶机械厂）","5020","Zhongshan Lihang Machine Making Co.,ltd（Zhongshan ","1st Fei'e Street，Huangpu Town，Zhongshan，Guangdong，China","中山市黄圃镇飞鹅一街","www.lihang.com","5206","热交换器、机油冷却器等。","528415","lihang@lihang.com","0756-3216815","0760-3218782"
"19163","中山市长征机械有限公司","5020","Changzheng Machinery Co.,ltd Zhongshan","Dutou Industrical Area，South of Zhongshan，Guangdong，China","中山市南区渡头工业区","","5206","柴油机起动空气瓶等。","528455","","0760-8896378","0760-8896303"
"19164","中山市小榄船舶舾装件厂","5020","Zhongshan Xiaolan Marine Outfits Plant","No.6 Delai Road（N），Shakou，XiaolanTown，Zhongshan，Guangdong，China","中山市小榄镇沙口德来北路6号","","","船舶舾装件、水密门、舷窗、矩形窗、人孔盖、舱口盖、舱口盖、油舱盖、弹簧拖钩、烟斗式通风头等100多种。","528415","xlxzjc@yahoo.com.cn","0760-2112539","0760-2107138"
"19165","中远关西涂料化工有限公司珠海公司","5020","Zhuhai Company of COSCO Kansai Paint Co.,ltd","Jinagxihuagong Area，Development Zone，Gaolan port，Zhuhai，Guangdong，China","珠海高栏港经济区精细化工区","www.kansai.com.cn","5206","集装箱涂料、船舶涂料、海上石油设施涂料和工业专用涂料。","519050","kansai@kansai.com.cn","0756-3986270","0756-3986276"
"19166","珠海澳新护弦囊有限公司","5020","Zhuhai New Oasis Fender Air-Bag Co.,ltd","Block 11 Xuankun Park，No.333 Shuiwan Road，Jida，Zhuhai，Guangdong，China","珠海市吉大水湾路333号轩坤花园11幢","www.newoasis.cn","5206","护舷气囊。","519015","ao_xin@sina.com","0756-3335096","0756-3335095"
"19167","珠海市格凌实业有限公司","5020","Zhuhai Geling Industry Co.,ltd","No.7Pingbei Road（1st），Nanping Technology Indutrial Area，Zhuhai，Guangdong，China","珠海市南屏科技工业园屏北一路7号","www.geling.com.cn","5206","海水淡化工程，水处理设备、船用海水淡化机，汽车及船舶冰箱，饮水机。","519015","root@geling.com.cn","0756-3898866","0756-3898818"
"19168","珠海市宏昌船舶推进系统有限公司","5020","Zhuhai Hongchang Marine Propeller Co.,Ltd","No.37，Yunhe Roda，Pingsha Town，Zhuhai，Guangdong，China","珠海市平沙运河路37号","","5206","设计、生产和销售船用推进系统组件及船用零配件、包括合金铜螺浆、铝合金螺浆、不锈钢螺浆及推进轴等。","519055","","0756-7752749",""
"19169","广西梧州恒宇港船机械制造有限公司（广西梧州船用机械厂）","5020","Guangxi Wuzhou Hengyu Port & Marine Machinery Co.,","No.2 Yanjiang Road，Lianhuashan，Wuzhou，Guangxi，China","梧州市莲花山沿江路2号","","5207","船用电动、液压锚绞三机系列，船舶救生设备，1-45吨港口起重机，35吨以下电动双梁起重机和DN80口径以下的船用阀门旋塞。","543005","wzcyjxc@wz-mail.gx.cninfo.net","0774-5822076","0774-5824075"
"19170","广西梧州市锚链厂","5020","Wuzhou Anchor Chains Factory，Guangxi","No.10 Dachongli，Qianjian Road，Wuzhou，Guangxi，China","梧州市钱鉴路大冲里10号","","5207","船用锚链、无档锚链、有档锚链以及各种锚链附件、起重机械用链条。","543004","","0774-5823565","0774-3824347"
"19171","柳州钢铁（集团）公司","5020","Liuzhou Iron &Steel（Group）Co.","No.117 Beique Road，Liuzhou，Guangxi，China","柳州市北雀路117号","www.liuzhousteel.com","5207","船用钢板。","545002","lggsb@public.lzptt.gx.cn","0772-2593658","0772-2313416"
"19172","上海市金黎船舶配件有限公司","5020","Shanghai Jin-Li Ship Accessories Co.,Ltd","No.2001 Qinjixiang Road,Gonglu Town,Pudong","浦东龚路镇秦家巷路2001号","","5205","船舶钢质门窗、舱盖、梯、缆桩、卷车等。","201209","","021-58569540",""
"19173","梧州市船用开关厂","5020","Wuzhou Marine Switch Factory","No.35 Lianhuashan Road，Wuzhou，Guangxi，China","梧州市莲花山路35号","","5207","船用主配电板、高低压配电屏、锅炉仪表控制屏（板）。","543005","","0774-5829177","0774-5823485"
"19174","梧州东南船舶设备厂","5020","Wuzhou Southeast Marine Equipment Factory","No.3 Lianhuashan Road，Dieshan District，Wuzhou，Guangxi，China","梧州市蝶山区莲花山路3号","","5207","生产销售船用钢锚、辅机及其他船舶配套设备。","543005","","0774-5826765",""
"19175","玉柴机器股份有限公司","5020","Yuchai Machine Co.,ltd","No.168 Tianqiao Road，Yulin，Guangxi，China","玉林市天桥路168号","www.yuchai.com","5207","船用柴油机及柴油发电机组。","537005","","0775-3286108","0775-3830746"
"19176","玉林市石和机械厂","5020","Yulin Shihe Machinery Plant","Aiguo Village，Shihexiang，Yulin，Guangxi，China","玉林市石和乡爱国村","","5207","船舶配件。","537033","","0775-2715115",""
"19177","中船华南船舶机械有限公司","5020","CSSC-Huannan Marine Machinery Co.,ltd","No.73 Qianjian Road，Wuzhou，Guangxi，China","梧州市钱鉴路73号","www.scmmp.com.cn","5207","系列电动液压船用吊机、海洋平台吊机、救生（助）艇吊机、电动液压锚绞机、液压舵机、原油洗舱机、船用齿轮箱。","543004","scmmp-js@scmmp.com.cn","0774-5845666","0774-5827016"
"19178","德阳恒胜机械设备厂","5020","Deyang Hengsheng Machinery Equipment Factory","No.158 Shahe Street，Deyang，Sichuan，China","德阳市市区沙河街158号","","5223","船用铸锻件设计制造。","618000","","0838-2273313",""
"19179","乐山市路港工程有限公司","5020","Leshan Lugang Engineering Co.,ltd","No.23 Zhonghe Street，Leshan，Sichuan，China","乐山市中和街23号","","5206","三级航务工程施工、船舶机械。","614000","","028-2134389",""
"19180","泸州河海船用密封装置厂","5020","Luzhou Hehai Marine Sealing Device Plant","Zhuanpan，New District，Jiangyang Road（S），Luzhou，Sichuan，China","泸州市江阳南路新区转盘","","5223","专业生产“黄氏密封”HKT系列船用艉轴密封装置。","646000","","0830-3196356","0830-3194307"
"19181","绵阳市天旋气门组件有限责任公司","5020","Mianyang Tianxuan Valve System Co.,ltd","No.155 Tangxun Street（S），Economic & Technical Development Zone，Mianyang，Sichuan，China","绵阳市经济技术开发区塘汛南街155号","www.tainxuan.cn","5223","专业什产内燃机气阀旋转机构（转阀器）、阀座、锁夹、导管、弹簧座、挺杆、摇臂等气阀系统组件。","621000","office@tianxuan.cn","0816-2840034","0816-2840804"
"19182","攀钢集团成都钢铁有限责任公司","5020","Panggang Group Chengdu Iron & Steel Co.,ltd","No.268，Tuanjienan Road（S），Qingbaijiang District，Chengdu，Sichuan，China","成都市青白江区团结南路268号","www.csstco.com","5223","船用钢板。","610030","csst@china-steeltube.com","028-4408085","028-4500225"
"19183","北京江汉水结环保设备有限公司","","","","","","","","","","",""
"19184","北京江汉水结环保设备有限公司","5231","BJJH Environment Water Treatment Equipment Co.,Ltd","4/F,No.3 Building,China World Trade Center-Century Apartment ,Guangqumenwai Avenue ,Changyang District ,Beijing, China","北京朝阳区广渠门外大街 18 号国贸世纪公寓 3 号楼 4 层","","","研发、制造节水设备","100022","jhsj2940@163.com","?010-67799266、67799366","010-87717894"
"19185","上海势能船舶装饰有限公司","5020","Shanghai Sinon Marine Decoration Co.,Ltd","No.1855 Nanlu Road, Nicheng Town,Nanhui District","南汇区泥城镇南芦公路1855号","www.sh-sinon.com","5205","船舶内装总包工程项目，船用卫生单元，船用家具等。","201306","zgm@sh-sinon.com","021-58073366","021-58073355"
"19186","攀枝花市钢铁（集团）公司","5020","Panzhihua Iron & Steel Group Co.","Xiangyangyi Vallage，Shidong District，Panzhihua，Sichuan，China","攀枝花市东区向阳一村","www.pzhsteel.com.cn","5223","船用钢板。","617067","pgiec@pzhsteel.com.cn","0812-3394123",""
"19187","四川长征机床集团有限公司","5020","Sichuan Changzheng Machine Tool Group Co.,ltd","NO.284 Jianshe Road，Gongjing，Zigong，Sichuan，China","自贡市贡井区建设路284号","","5223","重型铣车复合加工中心。","643020","Cx@cczmt.com","0813-3301270","0813-3301476"
"19188","四川大西洋焊接材料股份有限公司","5020","Sichuan The Atlantic Welding Material Co.,ltd","No.2 Machongkou Street，Zigong，Sichuan，China","自贡市马冲口街2号","www.chinaweld-atlantic.com","5223","焊接材料。","643010","atlantuc@zg-public.sc.cninfo.net","0813-5100467","0813-5101200"
